"com","id_noeud","POPULATION"
"2B111","126575",53
"2B208","227354",113
"44062","47598",1718
"2B334","75919",128
"2B234","40490",22
"2B335","126571",346
"2B303","26836",687
"2B087","126568",1685
"09189","37972",172
"66081","228385",135
"66159","65804",63
"66154","61875",73
"66122","115961",67
"66219","3757",21
"64009","120386",1941
"66045","79546",707
"66034","115467",114
"66070","51276",170
"66104","111939",905
"66074","224056",398
"66103","52595",549
"66109","126381",217
"66149","213407",5835
"66089","150968",253
"66023","148474",906
"66040","140992",41
"66230","41852",1955
"66056","196450",1149
"66033","45844",428
"66145","22274",2801
"66165","231008",632
"66185","61359",331
"66101","106994",1964
"66213","218816",6544
"66038","46288",4914
"66144","46294",4647
"66059","39074",2162
"66189","178694",4887
"66208","46450",1691
"66186","25998",2542
"66002","67860",3358
"44030","19807",3965
"66171","172099",10716
"2B081","225491",38
"2B220","227367",152
"2B244","123481",50
"2B248","227728",43
"2B122","78663",45
"2B255","88469",47
"2B246","88469",210
"2B344","135749",37
"2B243","229749",39
"2B113","148887",53
"2B101","88467",73
"2B273","232204",48
"2B299","196233",94
"2B302","59992",93
"2B319","126974",747
"2B340","20184",108
"2B307","43902",1256
"09298","138833",92
"09020","150932",50
"14166","8872",2320
"22198","202126",3983
"09193","146058",71
"09078","151045",82
"66201","191221",55
"66111","70049",149
"66121","76563",1227
"66019","58855",227
"66198","227159",501
"66215","70043",140
"66174","76559",2572
"66173","76565",985
"66228","83936",1292
"66140","83939",3374
"66012","83937",3203
"66195","76555",7300
"66172","198062",11846
"66224","165610",3281
"2B049","152414",2299
"2B156","230769",17
"2B080","79276",160
"2B162","224996",709
"44187","116856",4273
"66037","25718",12436
"2B039","106078",178
"2B079","106077",428
"2B054","144014",188
"2B195","88470",132
"2B125","88471",46
"2B166","64468",615
"2B192","64467",187
"2B069","162046",93
"2B214","24032",24
"2B280","24034",121
"2B245","224760",60
"2B286","36577",782
"2B343","53276",1695
"2B077","36574",603
"09162","133522",25
"09311","57243",20
"09155","228487",40
"09096","232991",38
"09004","211360",132
"09134","48509",21
"09295","133521",103
"09228","180251",212
"09140","84204",112
"11062","196560",16
"11038","208500",61
"11127","189315",83
"11373","37924",73
"66083","204313",39
"66234","13416",84
"66006","79535",198
"66076","231289",59
"66042","206399",257
"66096","174090",1059
"66041","28467",858
"66069","107754",3348
"66014","199934",2579
"66138","212296",1382
"66141","214380",8284
"66050","6593",3901
"66021","232316",7061
"66180","145046",9851
"66017","123260",4037
"2B084","126624",225
"2B020","207305",601
"66164","54778",8422
"66071","28431",2025
"66176","67420",2836
"2B173","126616",233
"2B112","126625",209
"2B290","87879",288
"2B352","87881",186
"2B097","126626",68
"2B050","223685",5422
"2B182","126626",177
"2B025","126622",85
"2B339","111095",23
"2B140","55883",118
"2B036","13490",79
"2B355","13486",451
"2B042","13493",7997
"44131","196817",14288
"14333","217375",7676
"40091","46567",657
"65471","95071",225
"65384","27928",122
"65106","31390",157
"65450","144821",32
"65017","144800",242
"65117","227840",42
"65157","225452",29
"65058","227742",152
"65172","85657",38
"65195","85697",158
"65003","229073",120
"65199","198990",43
"65317","167280",45
"65171","193407",28
"31213","193406",135
"31434","7604",75
"31125","49809",37
"31242","119658",21
"31432","49808",37
"71145","127081",562
"31559","146378",6
"31068","176394",23
"31133","190117",91
"31123","49703",50
"31465","230690",14
"31508","149488",42
"31042","211632",2533
"31129","230497",26
"14118","219222",107229
"31360","137899",480
"31244","137896",377
"31010","15950",108
"31019","234251",30
"31524","95868",140
"31500","137894",567
"09100","129891",79
"47043","158391",1328
"09136","199248",95
"09217","108514",178
"09192","16773",119
"09077","36261",179
"47078","219005",1300
"09092","71566",45
"09328","65302",226
"11096","227187",34
"11265","71356",19
"11320","199308",281
"11229","8478",25
"11130","44976",204
"11317","71621",139
"11031","109085",38
"71158","75388",1639
"11019","45805",48
"11060","124205",51
"11021","207707",612
"11302","225477",264
"11306","208570",47
"66046","28472",645
"66097","103905",152
"66107","198059",840
"66231","122265",634
"2B296","232130",113
"2B316","1119",1014
"2B168","87875",2168
"2B034","184564",552
"2B180","158324",86
"2B332","52998",200
"47174","143603",751
"2B333","213337",123
"2B172","55884",618
"65469","149956",28
"65463","230389",78
"65168","105469",390
"65089","230591",112
"65046","229908",81
"65124","31391",66
"65211","151001",138
"65075","104119",132
"65212","144828",363
"65209","104121",89
"65116","34694",294
"65050","193404",67
"65466","123068",83
"65205","31339",76
"65099","117880",173
"65255","150999",36
"65140","16770",22
"31081","162648",9
"31222","45781",48
"31142","137956",246
"31235","231856",48
"31092","20252",130
"31046","138864",10
"31290","92520",42
"37196","213065",1803
"09011","156381",58
"09017","62928",108
"37113","29488",957
"09223","171389",545
"44125","193579",2178
"47252","188840",6132
"09057","193428",310
"09005","135286",125
"09231","184354",171
"28201","4666",1939
"09241","95078",341
"37139","49795",5207
"09015","39781",732
"37069","179536",212
"09303","95077",350
"09058","71564",205
"09045","193463",195
"09211","59582",133
"09125","119138",453
"11165","174158",349
"11263","61448",253
"11168","216156",113
"11055","192057",220
"11065","227643",61
"11035","28419",289
"11112","192058",100
"11384","192059",120
"11326","160135",84
"22202","97248",784
"11270","188039",126
"66127","119081",1042
"2B185","190897",1551
"2B239","187125",207
"2B037","98875",7772
"64223","188644",81
"09285","100901",751
"64471","89985",347
"65169","147014",75
"65138","159195",1002
"65480","222869",38
"65478","230874",42
"65413","151635",118
"65424","228632",105
"65066","118626",32
"65039","1348",54
"65122","87488",24
"52502","91592",53
"65234","150362",104
"65354","212398",64
"65023","104302",11
"51108","197181",44899
"65158","225818",77
"31139","180516",196
"31199","158883",198
"31040","57171",31
"31590","123070",42
"31144","57174",782
"31298","231859",60
"31177","138571",131
"09267","97011",133
"09129","174440",107
"09027","174885",69
"09263","174441",25
"09014","193455",191
"09025","97801",64
"09141","193446",78
"09219","193456",156
"09069","136016",28
"09095","95577",140
"09026","176866",124
"09018","95587",78
"09035","34496",200
"09297","231427",32
"09111","193452",275
"09008","109448",119
"37115","114644",3689
"09110","106023",93
"09149","71898",199
"09301","75856",357
"09063","149020",105
"09066","58769",642
"09130","58768",693
"09207","15073",1416
"09121","203027",851
"09236","168400",383
"09272","171690",1245
"09300","178951",197
"09093","28394",122
"09166","68817",100
"09142","179437",124
"09215","89643",132
"09160","28427",6312
"09242","161407",45
"09106","212466",358
"09336","59577",1043
"09262","28424",405
"09043","85189",734
"09003","89647",397
"09165","159591",233
"28150","64572",380
"11316","65197",208
"11336","85188",484
"37157","227027",345
"11424","165595",96
"11346","165597",111
"11376","84251",83
"11329","208056",213
"11240","169437",577
"11010","84246",322
"11209","228807",222
"11063","67038",615
"11109","153481",49
"11007","228236",108
"11187","148183",50
"22175","84053",1364
"11015","85234",240
"11103","67045",1145
"11287","231421",84
"11191","85226",144
"11260","196646",124
"11224","64451",30
"11118","64450",43
"11117","179681",116
"11245","56741",47
"11213","225604",41
"11125","19971",153
"11345","19970",266
"11143","160447",94
"2B205","169840",707
"2B305","114175",2941
"44001","63053",1984
"64336","207813",189
"28311","147637",408
"64417","115656",3308
"64011","9740",124
"64006","503",450
"64185","21894",75
"64152","174578",1795
"69178","178740",772
"64012","141948",138
"64495","81741",6006
"65182","34160",117
"65112","191132",145
"65029","81750",506
"65396","191130",379
"65267","35692",506
"65077","191362",416
"65371","191364",233
"65467","105697",102
"65473","198184",402
"65458","228901",36
"65362","221976",1195
"65435","105471",247
"65092","192928",203
"65408","144818",584
"28209","591",5657
"65109","148075",38
"65193","4107",71
"65382","4103",86
"65014","164491",36
"65154","48315",43
"65012","115068",94
"65347","157567",33
"28140","9903",5497
"65441","115067",84
"31207","146793",91
"31308","163096",63
"31509","122220",122
"31306","146796",90
"31217","122218",82
"31041","43695",88
"31405","202425",118
"65427","138482",293
"65398","232034",214
"31131","46174",65
"31342","79989",177
"31544","56655",214
"31245","193448",204
"31447","9454",41
"31011","191314",228
"31191","205104",103
"09091","35088",224
"09208","195329",121
"09268","202238",1434
"09214","183305",792
"09201","95632",65
"85280","25171",2864
"09164","89680",503
"09082","89695",449
"09212","90007",81
"09203","89677",161
"69021","40610",2253
"09196","229572",55
"69191","200046",5485
"09044","25794",164
"09071","89693",234
"09293","104736",777
"09269","104735",343
"51030","212587",5841
"09174","214836",300
"09264","223544",1181
"09122","210157",9731
"09099","127418",408
"09329","83659",665
"51217","15419",2886
"09137","137525",162
"09234","142196",115
"09013","224541",54
"09138","114007",217
"09327","179269",223
"09168","6488",172
"09080","179265",160
"09169","160509",112
"46077","92991",294
"09233","75593",43
"09157","85182",2524
"09305","193977",364
"09243","204089",90
"69225","157181",514
"09200","116573",118
"11249","229041",92
"11333","85186",104
"11338","139149",66
"11394","120859",126
"11045","51704",121
"11142","51706",195
"11097","26707",66
"11323","159603",213
"11406","221342",36
"11389","234545",14
"11374","231179",18
"11250","102428",41
"11409","148181",99
"11137","85228",120
"11435","85240",140
"11071","173819",227
"11412","12119",54
"11006","80972",74
"11431","87051",267
"11322","65637",1018
"2B187","114376",146
"11188","29481",1620
"71162","27971",1094
"64061","189084",3554
"71368","51207",315
"64104","53361",572
"64085","53357",103
"64354","144403",121
"64195","167029",107
"65202","161568",327
"65055","156200",290
"65098","45828",270
"65201","54760",175
"65386","116015",96
"65351","226297",37
"65349","229160",8
"65123","97909",1345
"64180","34163",188
"65300","199804",71
"65231","93998",193
"65218","93997",599
"65279","93996",223
"51082","184547",92
"65322","54836",241
"65217","33469",54
"65009","206758",180
"65319","192764",133
"65277","25219",92
"65323","33467",61
"31255","3758",325
"28149","132474",690
"65329","29378",241
"31472","13980",246
"65051","126632",198
"65194","204952",96
"65407","148076",110
"31143","154163",266
"31535","116212",698
"31013","154162",362
"65230","192458",244
"31408","116206",88
"31021","46586",141
"31449","95980",132
"31095","61948",135
"31155","174887",233
"31550","116211",553
"31294","213721",80
"31241","61944",308
"31461","43812",288
"31357","190639",263
"31140","43824",193
"09041","59980",190
"31114","191317",242
"31112","552",181
"31237","41850",227
"31521","175141",358
"09235","68554",870
"09183","190755",93
"09148","18369",139
"31195","232148",18
"09308","129845",206
"09086","89691",306
"09307","62021",177
"09187","59979",375
"09158","37546",228
"09098","163124",72
"09198","48587",193
"09184","140368",39
"09097","52502",105
"09090","186092",47
"09202","222818",337
"09304","127649",24
"09021","198670",136
"09245","25793",1271
"09332","45307",2384
"09101","126982",232
"09104","191197",745
"09258","56739",453
"09145","160611",252
"09340","143082",168
"09314","126249",250
"09052","126251",160
"09266","160510",60
"11400","65366",104
"09251","134223",173
"09213","223412",224
"09316","228440",93
"09274","102441",330
"09039","33164",338
"09150","13733",181
"11282","223416",42
"11294","202937",57
"11207","208979",240
"11107","214222",72
"11427","84209",309
"11121","57154",101
"11158","141430",290
"11274","57157",336
"11214","96611",369
"11003","41581",194
"11078","84416",196
"11119","139151",289
"11120","82973",538
"11289","203031",1012
"11211","51702",518
"11105","211237",649
"11161","164677",116
"11029","45988",68
"11414","1244",28
"11440","161419",35
"11314","1242",88
"11083","47684",52
"11227","51891",34
"11354","227246",25
"11392","210608",281
"11386","187031",466
"11110","173992",117
"69047","102493",1094
"2B058","114180",310
"2B184","35129",83
"11295","73099",1267
"41258","119811",1177
"41084","110903",985
"41049","87688",979
"82020","154557",618
"69130","189930",251
"64298","126721",126
"64190","21284",231
"64308","144227",277
"64316","192647",191
"82038","50496",1502
"64404","78685",305
"82097","218514",1534
"64206","121489",132
"64128","121487",165
"64353","8720",1089
"64280","48872",448
"70404","13757",650
"64380","13889",223
"28398","173723",1259
"65395","26808",1211
"65343","191310",193
"65334","177632",233
"65360","128401",281
"65233","142575",292
"65291","137512",153
"65470","46978",134
"65040","191309",267
"70008","98707",153
"65286","234321",14644
"91225","212694",3169
"65370","223577",1119
"65059","223830",7633
"65328","116023",100
"65310","161168",247
"74022","56221",858
"82137","4887",574
"65312","209467",37
"65258","174746",5940
"65094","133778",100
"65455","133633",457
"65394","171779",311
"65482","118235",440
"65363","188983",466
"31390","188992",2870
"31556","62063",381
"31031","135351",547
"31426","62127",842
"31323","193956",407
"65307","25400",325
"31147","95032",594
"31076","157963",497
"31585","114340",1774
"31247","62308",1355
"31483","90727",11241
"31427","128166",867
"31452","56059",49
"31270","153762",971
"31372","20876",450
"31183","192731",285
"31050","64577",534
"31246","64581",888
"31504","167814",215
"31296","96016",453
"31554","21437",256
"31315","28388",990
"31391","28454",439
"31523","156964",1818
"31110","220017",636
"31336","115912",567
"82069","185831",203
"31591","97233",86
"31059","97232",109
"09094","185",153
"09120","63388",343
"09190","48591",116
"70433","56901",1392
"31365","118142",491
"09253","52509",333
"09075","117793",266
"46313","233727",400
"09019","95876",573
"09151","46702",52
"09276","191434",222
"09271","177595",74
"09116","52461",420
"09225","198317",15744
"09312","45309",2967
"09238","81005",760
"09309","36665",153
"09254","139040",250
"41036","43603",468
"09089","23295",52
"11343","204026",83
"11375","160024",35
"11173","1183",142
"11246","229911",60
"11004","128642",340
"11167","9074",106
"11032","87918",218
"11034","184262",877
"11197","150330",645
"11061","104319",302
"11053","232287",260
"11355","90033",371
"11090","202067",659
"11242","205074",166
"11344","87221",759
"11183","1237",259
"11417","90031",107
"11293","185345",850
"11325","187533",430
"11408","158083",452
"11378","1245",227
"11016","89237",84
"11251","198667",516
"11351","73709",781
"11390","87055",533
"11256","132910",546
"11332","132907",1298
"11132","87048",1288
"11285","124270",1093
"11024","166759",875
"11170","157558",4750
"45314","221941",416
"2B030","213995",130
"2B233","114183",146
"2B046","157712",177
"41230","108541",1830
"04111","63945",1380
"64047","78441",230
"69002","72435",249
"64492","147485",276
"64218","147483",355
"64327","202081",176
"64379","40465",178
"64015","126719",227
"25053","140640",99
"58062","211334",2086
"04022","156051",446
"64199","156485",141
"35190","87449",264
"64400","72832",1158
"64225","120934",412
"64064","44521",489
"64224","187115",670
"64252","44518",838
"04008","89481",1068
"40105","138317",442
"64074","29535",53
"64463","130348",683
"64522","5628",572
"64397","49180",124
"64148","8897",934
"64068","8896",2047
"64191","151617",2143
"64270","153019",933
"64498","169434",377
"65366","31271",890
"65280","103546",406
"65002","180611",780
"35113","145616",547
"63384","65512",127
"65333","10874",117
"65125","135268",309
"65150","64510",501
"31586","46142",552
"31289","106149",245
"65377","97541",183
"31130","14626",87
"31197","62058",339
"31539","66057",58
"31305","2585",204
"31513","46132",354
"31159","29180",447
"31268","29055",138
"31487","122280",247
"31302","29179",296
"31274","152815",182
"31023","3028",348
"31278","152819",327
"31086","84530",90
"31124","152798",364
"31440","153774",72
"31545","153769",217
"31018","2941",232
"31034","153768",208
"31198","81502",114
"31314","153759",441
"31457","138993",794
"31084","120082",1116
"31327","97140",193
"31422","93003",97
"31474","68109",255
"31425","82198",476
"31505","161835",316
"31362","133022",214
"31226","52691",84
"31267","48604",48
"09172","47953",28
"09186","116221",103
"09038","116217",384
"09084","211418",94
"09105","66252",714
"09294","143559",67
"65465","92305",346
"09163","196308",80
"09270","45798",266
"09319","22979",125
"09255","148889",42
"09331","201831",652
"09056","202454",325
"44069","201532",15858
"09199","98364",701
"09040","139035",274
"11033","150899",1315
"09315","179876",121
"09132","202377",206
"11057","150066",35
"11277","177116",31
"11290","145825",109
"11184","150759",91
"11419","128361",59
"11159","123067",140
"11312","123040",108
"11087","210930",82
"11291","23977",124
"11268","104109",93
"11139","211574",91
"11153","66407",209
"11193","219681",231
"11432","58741",263
"11051","201108",174
"11141","9072",102
"11059","8606",117
"11058","184436",265
"11018","210629",1204
"11005","122016",1322
"11199","134496",1444
"11327","196236",507
"11085","174449",908
"11299","205680",599
"11102","30885",632
"11201","175026",793
"11088","211032",1655
"11151","103688",414
"11027","69633",738
"11146","146703",397
"11257","73702",210
"11298","73704",194
"11220","136208",701
"11068","96841",1567
"11261","18206",686
"11241","191625",317
"11098","197952",932
"11148","74600",525
"11140","38292",1173
"11210","37240",1121
"11111","133617",715
"11267","32981",1206
"11255","205610",1450
"11014","131894",1544
"11262","124508",52802
"40043","44125",709
"83090","37613",13321
"76604","22449",196
"83034","210143",9905
"2B170","63249",133
"2B261","107969",567
"2B159","224094",100
"66062","64350",162
"64062","201408",2189
"64538","83103",760
"64066","37567",324
"64166","9743",186
"64477","38742",1619
"64484","71637",862
"64297","75354",168
"64487","81794",233
"64265","9292",79
"64378","193619",191
"64468","51003",115
"64217","133676",539
"64093","86129",673
"64409","232596",844
"64007","150643",929
"32256","71645",3572
"64245","27837",589
"64220","56882",521
"64328","56881",1040
"64126","143649",1213
"64234","88269",235
"64226","88270",182
"64514","164623",201
"64320","15043",1187
"66108","76569",4077
"95585","207889",57533
"64139","177461",1021
"64444","40535",438
"64091","123707",408
"64133","62806",1246
"64054","123709",833
"25393","51617",585
"64318","36127",172
"63291","44701",2633
"64344","204061",426
"64266","184114",247
"64292","130341",249
"64097","219924",597
"64453","130372",2882
"65252","210912",814
"65057","170198",1009
"65226","112660",2827
"65235","13353",4076
"65344","93807",2314
"65251","187363",1944
"65331","145433",3235
"65440","217601",41062
"65433","68691",3033
"65223","145273",1141
"65120","38535",301
"65417","58989",4713
"65410","58983",550
"65270","56160",210
"65265","58973",358
"65062","107455",3437
"65272","114867",75
"65101","192128",765
"65426","9075",147
"65324","71259",202
"65357","71263",159
"65149","193806",180
"65337","179151",113
"65318","109410",261
"65097","232783",188
"65183","52010",733
"65113","205934",270
"65376","7871",179
"31078","62051",137
"65316","192926",114
"31043","183926",175
"31276","152678",304
"31531","152681",75
"31532","94787",97
"31295","20624",79
"65074","30417",118
"31108","154486",259
"31138","20618",228
"31493","187890",133
"31528","12092",170
"31109","224215",463
"31477","168814",45
"31415","189401",95
"31028","81504",1177
"31039","29192",62
"31083","22165",238
"31552","215712",141
"31005","64519",321
"31318","99807",206
"31349","49294",878
"31324","69819",2247
"31530","115431",230
"31406","179452",811
"31135","9155",4877
"31153","82206",433
"31219","219935",388
"31225","52675",171
"31375","80823",3205
"31280","80887",340
"31312","150813",38
"31279","84605",76
"31272","27574",72
"31103","79784",53
"31111","150815",305
"09342","223549",235
"09277","175938",646
"09109","232078",155
"09338","128598",145
"31206","677",1245
"09076","230944",210
"09146","175399",51
"09067","175400",200
"11236","154744",232
"11231","199926",87
"11226","62914",73
"11278","79037",101
"11365","127409",39
"11283","62911",76
"11162","27987",61
"11149","89957",76
"95120","9830",2241
"11072","177624",210
"11196","36954",176
"11418","177679",1250
"11009","17001",1479
"11340","32548",526
"11288","141616",1390
"11084","134501",841
"11437","186751",867
"11279","174709",2451
"11049","4939",3441
"11429","92701",4181
"11410","85151",1018
"11037","201559",878
"11422","142126",338
"11069","85331",46724
"11215","32214",842
"11043","147520",237
"11023","177903",780
"11342","207314",240
"11001","93108",535
"11042","13110",210
"44182","170515",4535
"11397","206643",5410
"11337","74804",408
"11318","146466",116
"11301","136212",1141
"11190","75073",1118
"11077","146464",487
"11393","191626",470
"11126","191623",431
"11013","212288",365
"11324","43167",509
"11273","107816",646
"35354","142997",319
"11353","184598",1833
"11421","209957",494
"11067","192545",1631
"11307","161330",244
"11264","106629",1279
"11217","106627",1213
"11258","78819",1823
"11116","156463",3988
"11441","214453",2586
"11360","48307",1884
"11369","208199",2794
"11106","125739",5988
"11370","22970",3098
"11145","145142",3813
"13028","232811",34655
"83027","109913",5487
"83054","17875",8719
"83152","187476",717
"83036","168289",7150
"2B107","112185",156
"64490","201070",523
"64273","210609",866
"64313","197303",298
"64045","215291",69
"64314","75367",404
"64441","129634",284
"49201","107561",2102
"64188","40685",1100
"64214","141949",523
"64559","171911",748
"64264","146169",77
"64391","469",338
"2B251","104646",3498
"64508","138004",128
"64551","138003",273
"64165","59502",280
"64072","135745",654
"66168","188718",3288
"41166","58657",355
"64413","132187",676
"58052","119431",47
"64138","62809",2707
"64023","160253",860
"64329","154064",1266
"64439","177663",1620
"64059","128375",1006
"64419","177661",1579
"64216","219922",1082
"58303","169507",9440
"64526","189023",1525
"64343","1823",596
"65185","102581",437
"65292","12937",401
"64238","87893",1908
"65350","13461",1227
"65100","70655",4733
"65072","170195",1627
"65108","61371",781
"65047","43179",7959
"65340","163587",2017
"65146","163588",304
"65380","107493",146
"65104","154137",273
"65276","78718",103
"65332","107491",155
"65436","56157",308
"65225","56156",112
"65131","143017",238
"65206","58979",232
"65153","58974",116
"65298","66830",73
"65115","83634",305
"65359","212538",24
"65443","71261",17
"65044","71260",279
"65326","83633",109
"65289","25621",99
"65474","83900",118
"65461","154156",92
"65293","117654",115
"65374","174734",215
"65095","46389",349
"65419","109406",68
"65449","89970",115
"65373","8138",197
"65468","7868",54
"65315","122256",445
"31218","52239",116
"65026","180160",64
"31070","163302",504
"31378","56636",76
"31141","73036",258
"31301","73042",135
"31363","3078",220
"31172","100401",64
"31121","73037",65
"31168","196295",120
"31204","84675",79
"31309","84668",230
"31063","50817",163
"31196","100278",229
"31529","100276",130
"31370","195289",134
"31119","36683",216
"31387","49446",129
"31193","60464",1838
"31317","134516",444
"31286","99859",593
"31261","134517",1078
"41094","13837",1136
"31525","179374",509
"31555","212491",458298
"31258","118133",203
"31379","118134",175
"31128","158278",843
"31231","92325",535
"09275","52128",397
"09170","137724",211
"31220","185316",337
"31100","25950",2316
"11030","30328",121
"11134","223049",49
"11218","13478",76
"11371","79754",673
"11208","154754",78
"11238","62919",108
"11239","229528",81
"11114","62918",35
"11275","62916",188
"11225","30588",900
"11430","143495",1241
"11138","82515",583
"11356","206748",1105
"11439","135929",359
"11192","25367",798
"11434","177681",1267
"11281","4948",1299
"11357","207580",235
"11070","135928",319
"11308","55310",429
"11259","86609",994
"11404","32128",882
"11425","63314",1650
"11025","109484",286
"11099","113666",2439
"44085","80975",949
"11426","36002",1083
"84137","215152",6089
"11286","232243",1131
"11396","54334",503
"11198","208100",1083
"34141","9268",552
"34302","9215",695
"11022","177909",1171
"34026","9316",211
"11172","62598",601
"34190","9313",286
"11296","42734",505
"11212","42736",511
"11366","116755",565
"11041","115940",1103
"11012","27598",2028
"11233","201232",767
"34185","68408",479
"11269","76156",2277
"34206","109751",564
"34329","109589",2701
"34135","109731",3175
"34298","114406",4756
"34332","79891",5467
"26326","200769",1362
"13022","202458",7446
"13119","190044",6754
"13023","73199",4282
"13085","124046",5321
"83131","220444",5499
"83049","17895",10570
"64073","118439",245
"64350","107479",891
"64124","233014",685
"71545","182397",1015
"64271","93305",574
"64046","12770",396
"64120","225924",512
"64429","228093",100
"64539","75324",220
"64106","158381",455
"82055","198204",239
"64345","42419",191
"64187","153543",256
"64472","177927",824
"64049","31364",248
"64341","180172",139
"64025","230673",110
"64186","98698",201
"64405","46572",4142
"64326","99345",125
"64178","121623",444
"64281","69982",144
"64529","208615",386
"64359","163193",970
"64197","15616",188
"64442","15615",275
"64037","175874",1130
"64284","232460",7094
"64114","182889",583
"64200","130796",197
"64269","85283",4443
"64132","80489",4754
"64348","80409",12106
"26347","77625",5923
"64518","233768",916
"64021","46568",621
"64520","47744",750
"25569","118535",519
"64211","195013",278
"64053","195012",166
"64346","113333",208
"64507","213073",147
"64103","116511",202
"65422","163424",324
"64452","135179",249
"64398","85689",462
"65439","138027",262
"65007","9295",1420
"65244","13819",491
"65189","9296",252
"65341","70656",120
"65160","18268",122
"65048","206219",786
"65425","13813",429
"65372","96039",617
"65299","107996",234
"65477","176447",70
"65133","107489",212
"65430","166156",49
"65073","100191",327
"65242","101446",232
"65446","202504",482
"65269","56154",173
"65161","45777",270
"65454","56992",101
"65103","138667",94
"65301","104740",234
"65297","104739",39
"65254","56994",144
"65397","36724",164
"65102","23984",22
"65260","36497",85
"65342","81147",72
"65288","25620",69
"65250","170478",113
"65308","25615",112
"65015","36728",130
"65383","89087",179
"65177","198540",133
"32116","1932",138
"65213","122248",123
"65263","99176",100
"65358","63402",57
"32272","193997",171
"32103","144781",189
"65134","21895",13
"31412","154489",231
"25339","165158",225
"31479","126906",43
"31494","3085",164
"31008","90322",228
